Variable Description,UxHw Conf,UxHw Distance,Binned UxHw Distance
Stock Price At Maturity,Athens-16,7.39176800566347,6.934449175119165
Call Option,Athens-16,87.08559181008,87.08559181008003
Put Option,Athens-16,1.6481838925174965,1.6329142433632824
Value at Risk,Athens-16,8.612125769230232,8.612125769230232
